Obs,Segment,Stream Type,Bedform,Ph2SedReg,Class,ElevDS,L,DA,W_Ph2,D84,S,VC,VC_rat,ER,WtoD,IR,d50,d84_d16,nBars,nFCs,pArmor,SSP,SSP_bal
127,26_M02-,C4,Riffle Pool,FSTCD,4,72.5388601,1826.882048,299.7659036,28.34501676,60.29664848,0.183516845,8.817204301,1.40460115,5.94623661,21.13636398,1.184615374,50.15098007,53.40525673,9.305472139,2.189522856,0.064547047,45.03904332,0.793334952
128,26_M03-,C4,Riffle Pool,FSTCD,4,75.89149649,913.4410241,295.2081597,41.75556233,46.408461,0.233566895,6.277372263,0.399011702,9.124087334,62.27272415,1.416666627,27.61985518,33.26565336,7.663329997,1.094761428,0.109678011,56.77178747,1.590451138
129,26_M04-,C4,Riffle Pool,UST,3,78.02499238,1310.576044,250.6770926,24.41024078,61.06386829,0.162790701,15.73230116,2.336459321,12.48595428,17.4108696,1.178571463,39.51916304,39.0638683,4.578139535,1.526046512,0.162266279,35.6953987,0.797390878
130,26_M05-,C4,Riffle Pool,FSTCD,4,80.15848827,739.1039317,246.7683,33.4958854,54.4590283,0.206185564,6.733393995,0.577949651,5.914467812,27.68261909,1.382978797,35.72005233,42.21607484,10.82391753,4.058969072,0.040393814,44.76524586,1.093558842
131,26_M06-,C4,Riffle Pool,FSTCD,4,81.6824139,789.3934776,237.6911233,31.39286803,50.36885762,0.193050191,11.65048544,1.425004954,1.815533996,31.21212196,1.365853667,24.16042141,49.77836129,11.4011583,2.533590734,0.092349421,40.93537918,1.193084047
132,26_M07-,C4,Riffle Pool,FSTCD,4,83.20633953,939.652545,236.8263275,54.80036574,85.0286767,0.162179694,8.175750834,2.474240384,13.34816456,149.8333282,1.666666627,40.280253,77.0286767,10.64223159,2.128446319,0.247998703,34.31055781,0.50035802
133,26_M08-,C4,Riffle Pool,FSTCD,4,84.73026516,1120.08534,234.0655326,35.05028955,158.3977668,0.326530606,3.304347826,1.606421405,3.869565248,36.16352081,1.72727263,41.32347923,148.5055919,6.24952381,0,0.081567347,68.57201524,0.636147342
134,26_M09-,B4c,Plane Bed,TR,1,88.38768668,1175.861018,230.4143757,28.89362999,282.638289,0.518403292,2.056962025,0.164899789,1.297468305,37.92000198,1.9,37.94733191,281.7973926,1.700881286,0,0.026945308,107.7926617,1.670622066
135,26_M10-,C4,Riffle Pool,FSTCD,4,94.48338921,1466.626029,228.7562129,29.32032917,62.28927073,0.311720699,12.47401247,0.997920998,3.118503332,38.47999954,1.641025662,27.09110595,60.87505717,11.59123026,2.045511222,0.089278886,64.52246978,1.15386659
136,26_M11A,C4,Plane Bed,UST,3,99.05516611,500.1523926,193.7014535,24.38281012,279.1625242,0.3,12.5,1.889380531,10.375,17.39130402,1.754386067,41.3234792,278.588175,5.998171846,0,0.192696527,55.91848343,1.010920494
137,26_M11B,D4c,Braided,FSTCD,4,100.5790917,456.2633343,190.3906325,52.0572996,84.06786194,0.3,6.615925059,0.488515181,9.192037582,85.40000153,1.081081033,41.91467974,68.06786195,13.1503006,4.383433534,0.058804275,55.31442262,1.019789591
